Diseases and Bio Functions	genesEnrichedForRABacteria - 2024-06-28 10:35 AM	genesEnrichedForCtrlBacteria - 2024-06-28 10:36 AM
Premature senescence of reproductive system	1.4383010080358214	0.0
Quantity of inflammatory monocytes	1.4383010080358214	0.0
Perinatal death	0.0	1.4316336675001629
Mitochondrial cardiomyopathy	0.0	1.4298522899841577
Transmembrane transport of carboxylic acid	0.0	1.4298522899841577
Systemic autoimmune syndrome	1.4296037275852596	0.0
Size of epithelial cell lines	1.4152562153836716	0.0
Growth of Candida albicans	0.0	1.406816353585834
Abnormal morphology of Schwann cells	0.0	1.406816353585834
Transmembrane transport of Zn2+	0.0	1.406816353585834
Grade I astrocytoma	0.0	1.406816353585834
Infection of kidney cell lines	0.0	1.4046381569589979
Global developmental delay	1.3965008808986277	0.0
Colorectal cancer	1.3948865000686257	0.0
Left ventricular ejection fraction	1.3934159877934849	0.0
Replication of Murine herpesvirus 4	1.3934159877934849	0.0
Catabolism of oligosaccharide	1.3934159877934849	0.0
Size of kidney cell lines	1.3934159877934849	0.0
Function of lysosome	1.3934159877934849	0.0
Infection of embryonic cell lines	0.0	1.3926312653858488
Oral cavity carcinoma	0.0	1.3894250338827312
Accumulation of autophagosomes	0.0	1.3849849764372286
Clearance of triacylglycerol	0.0	1.3849849764372286
Chemoattraction of T lymphocytes	0.0	1.3849849764372286
Killing of Staphylococcus aureus	0.0	1.3849849764372286
Burkitt lymphoma	1.3790590222686696	0.0
Hyperkalemia	1.372662719767402	0.0
Skin carcinoma	1.3666972227120198	0.0
Quantity of male germ cells	1.3660950688575353	0.0
Toxic epidermal necrolysis	0.0	1.3642405529524948
Blepharitis	0.0	1.3642405529524948
Abdominal hernia	0.0	1.3642405529524948
G1/S phase transition of lung cancer cell lines	0.0	1.3642405529524948
Pancreatic ductal adenocarcinoma	1.3611116655611573	0.0
Familial arthropathy	0.0	1.3603787378569372
Glandular intraepithelial neoplasm	0.0	1.3546898326484618
Childhood hypertension	1.3528952286741396	0.0
Cardiac death	1.3528952286741396	0.0
Abnormal morphology of gastric parietal cells	1.3528952286741396	0.0
Release of exosomes	1.3528952286741396	0.0
Microalbuminuria	1.3528952286741396	0.0
Gliomatosis cerebri	1.3466826236542535	0.0
Development of gap junctions	1.3424045584650022	0.0
Gallbladder adenocarcinoma	1.3341581895143453	0.0
Secretion of saliva	1.334025832361774	0.0
Respiration of myeloid cells	1.334025832361774	0.0
Acidification of lysosome	1.334025832361774	0.0
Abnormal morphology of renal medulla	1.334025832361774	0.0
Abnormal morphology of spermatogonia	1.334025832361774	0.0
Atrophy of renal tubule	1.334025832361774	0.0
Catabolism of phosphatidylcholine	1.334025832361774	0.0
Immune response of T lymphocytes	0.0	1.3313341153345655
Color of fur	0.0	1.3256213369987981
Permeability of vascular tissue	0.0	1.3256213369987981
Abnormal morphology of eyelid aperture	0.0	1.3256213369987981
Beta-oxidation of palmitic acid	0.0	1.3256213369987981
Stevens-Johnson syndrome	0.0	1.3256213369987981
Killing of E. coli	0.0	1.3256213369987981
G1/S phase transition of tumor cell lines	0.0	1.3219162045248072
Size of eye	1.315978049391068	0.0
Morphology of red blood cells	1.315978049391068	0.0
Abnormal morphology of epididymal fat	1.315978049391068	0.0
Spermiogenesis	1.3143267416607947	0.0
Small cell lung carcinoma	1.3125557830627832	0.0
Degradation of Gelatin	0.0	1.3075823810006895
Abnormal morphology of hypothalamus	0.0	1.3075823810006895
Transport of molecule	0.0	1.3065130399305993
Hyperalgesia	0.0	1.303456905187272
